umap1,umap2
14.568293,9.731975
14.553183,9.839056
14.552243,10.118445
14.778117,9.966741
14.634411,10.029725
14.511227,9.825936
14.57721,9.815622
14.495236,9.813106
14.611947,9.805471
14.597644,9.805316
14.442513,9.801947
14.682544,9.772142
14.42647,9.799901
14.532578,9.796152
14.594546,9.722224
14.605323,10.018135
14.529538,9.75595
14.497154,9.81861
14.536035,9.777616
14.456716,9.736187
14.5839405,9.763361
14.462481,9.825357
14.473263,9.806617
14.516587,9.786029
14.467133,9.835996
14.592034,10.151592
14.501098,9.812619
14.599666,9.812797
14.48764,9.827334
14.503526,10.09866
14.484785,9.815761
14.454959,9.821429
14.536067,10.064316
14.591551,9.822318
14.554953,9.826765
14.564042,9.786046
14.644721,9.725493
14.579847,9.833581
14.557175,9.827136
14.547496,9.831873
14.467879,9.8147955
14.510988,9.834175
14.403677,9.719403
14.473415,9.801954
14.307673,9.627691
14.5517,9.790211
14.56412,9.832081
14.529892,10.039676
14.44938,9.834345
14.484032,9.768914
14.491358,9.7928705
14.489881,9.784687
14.464586,9.834362
14.4976845,9.844843
14.565869,9.792658
14.566395,9.812167
14.562782,9.968578
14.493155,9.746376
14.489957,9.784135
14.573186,9.806829
14.484737,9.815981
14.473866,9.790122
14.481589,9.84074
14.456273,9.823515
14.517598,9.817402
14.463617,9.839596
14.463391,9.812188
14.485534,9.816252
14.43552,9.766795
14.467601,9.986064
14.457644,9.997099
14.468356,9.825137
18.067629,3.9294508
18.058344,3.9470532
18.060669,4.0043354
18.047882,3.9828565
18.04834,3.986109
18.035496,3.996474
18.05851,3.9636605
18.0479,3.93478
17.976784,3.9499018
17.976658,3.9804208
18.063734,3.9419134
17.995985,3.9572635
18.049633,3.9605305
18.060747,3.9282978
18.03728,4.0050874
18.042551,4.000889
18.051783,4.025758
18.05774,4.0060444
18.070292,4.0114017
18.09427,4.080904
18.032787,3.9958377
18.065798,4.0066376
17.985361,3.9731817
18.053013,3.9671044
18.039755,3.997963
17.989199,4.0611496
18.038248,3.9864855
18.100002,3.9412622
18.05852,3.9860158
18.04668,3.9848616
18.037106,3.9852061
18.039467,3.938767
18.033915,3.9416664
18.080362,4.1434436
18.09266,4.0041966
18.094528,3.938057
18.042122,3.933077
18.037756,3.9872081
18.033413,4.0186563
18.02385,4.0287046
18.040451,3.9928813
18.046549,3.9877913
18.040354,3.9841645
18.212183,3.899627
18.050343,3.9737906
18.044914,4.0119295
18.032372,4.0032883
18.0485,3.9935758
18.143303,3.885362
17.971498,4.0527406
18.155071,3.893776
17.943829,3.9584072
17.904764,3.988051
18.07634,3.948
18.064886,4.0148945
18.009205,3.9894962
17.921368,4.1359944
18.125835,3.9269416
18.032776,4.001585
18.024048,4.002229
18.039583,4.0906405
17.943972,4.000767
18.172028,3.982177
18.011608,4.056763
18.189075,3.9919653
18.031252,3.9833705
18.143257,3.9139576
18.07431,4.0549626
18.029192,3.950339
18.021986,4.011381
17.938133,4.000717
18.143257,3.9139576
18.022709,4.0316157
18.086905,4.0735993
18.003061,3.9490693
17.997799,4.0057497
18.062359,4.03052
17.9424,4.0589185
18.013206,4.024293
18.001146,4.016749
18.015835,4.0132985
18.038221,3.9622498
18.012344,4.0016007
18.10072,3.947076
18.045692,4.068998
17.994553,3.9576454
18.028055,4.038995
18.0953,3.9465945
18.024109,4.044157
18.00143,4.0690756
18.03104,4.0041537
17.899435,4.0536427
18.162045,4.140374
17.994354,4.01569
18.105179,3.9409947
18.006086,4.040832
17.986574,4.0026813
18.060225,4.0206223
17.89148,4.0283027
18.015102,4.015552
18.025463,4.0752954
17.994286,4.0209785
17.989525,4.130274
17.914822,4.113765
17.969679,4.109816
17.994032,4.0402927
17.988619,3.9801679
18.066494,4.006051
18.021788,4.001123
17.978664,4.0294175
17.998083,4.0420575
17.965252,4.0733175
18.07513,4.071117
17.995296,4.0485735
17.990746,4.125165
18.07513,4.071117
17.987007,4.0048985
17.886658,4.031262
18.022848,3.9567163
17.956192,4.0179887
17.86008,4.014025
17.930119,4.0096846
17.982222,4.0510516
17.996544,4.074741
17.988949,4.051516
17.889353,4.0342503
18.050243,4.0004954
17.994034,4.0521913
18.051046,3.992982
17.912647,4.059931
17.99248,4.088275
17.997324,4.097937
18.047354,4.003696
18.004154,4.007656
18.002737,3.9870086
17.986982,4.0307975
18.033865,4.1328907
18.054424,4.0454593
17.986046,4.0545235
17.893631,4.065974
17.98825,4.0313954
18.021683,4.0220776
18.049387,4.0045905
17.954708,4.0443897
18.026049,4.0023494
17.983196,4.0478196
17.941273,3.9847584
17.979053,4.069902
17.945381,3.9877608
18.140982,4.035758
18.046928,4.030443
17.953585,4.1729674
17.8535,4.169342
17.960304,4.0717173
18.038073,4.0430856
17.94729,4.0769796
18.036497,4.020533
17.961393,4.0636563
18.0292,4.095124
18.034681,4.029058
17.961786,4.0291924
18.005877,4.12464
17.95936,4.0684195
17.977026,3.9750214
17.999216,4.086009
17.967628,4.041452
18.065924,4.0238056
17.937767,4.0720124
18.002075,4.0887594
18.021688,4.0378613
17.96246,4.084243
18.026384,4.0201535
17.959225,4.058975
18.016298,3.993599
17.954336,4.0598736
17.96815,4.076292
17.891293,4.088554
17.95868,4.103383
17.964108,4.0863733
17.953295,4.096306
17.91617,4.104976
18.036947,4.0088315
18.13767,4.1470113
18.021631,4.036921
17.952887,4.0611005
17.971195,4.057709
17.987314,4.031822
17.976978,4.0971894
18.029207,4.0058503
17.92216,3.9948194
18.00087,4.0738473
17.97459,4.076751
17.978966,4.1045656
17.956827,4.1058593
17.948793,4.0737376
18.023972,4.230262
17.961147,4.169375
17.953766,4.105139
17.871578,4.131021
17.902916,4.094774
17.912462,4.184231
17.950274,4.0850167
17.996704,4.093348
18.030685,4.1560364
17.951366,4.1250644
17.981236,4.113697
17.975025,4.101482
17.984886,4.1532383
17.993052,4.090565
17.944952,4.0839133
17.984262,4.050103
18.019764,4.093477
17.99987,4.097425
18.046223,4.0120673
17.976778,4.1067357
17.95289,4.0923448
18.012896,4.063077
18.008368,4.043886
17.925137,4.1604548
17.905455,4.1884546
17.933744,4.0780044
17.938799,4.116756
17.957855,4.1331706
